Strain,Left,Right
EC30,EC_30_1.fq.gz,EC_30_2.fq.gz
FD27,FD_S4_LALL_R1_001.fastq.gz,FD_S4_LALL_R2_001.fastq.gz
TB33,TB_S7_LALL_R1_001.fastq.gz,TB_S7_LALL_R2_001.fastq.gz
DonB11,DonB_11_1.fq.gz,DonB_11_2.fq.gz
Axs23,Axs_23_1.fq.gz,Axs_23_2.fq.gz
Ors32,Ors_32_1.fq.gz,Ors_32_2.fq.gz
AB6,AB6_S9_LALL_R1_001.fastq.gz,AB6_S9_LALL_R2_001.fastq.gz
AB3,AB3_S8_LALL_R1_001.fastq.gz,AB3_S8_LALL_R2_001.fastq.gz
ABC-24,ABC_24_1.fq.gz,ABC_24_2.fq.gz
ABS23,ABS_23_1.fq.gz,ABS_23_2.fq.gz
TSB2,TSB_2_1.fq.gz,TSB_2_2.fq.gz
Orc32,Orc_32_1.fq.gz,Orc_32_2.fq.gz
AS31,31_S3_LALL_R1_001.fastq.gz,31_S3_LALL_R2_001.fastq.gz
AS32,AS_S5_LALL_R1_001.fastq.gz,AS_S5_LALL_R2_001.fastq.gz
Orc37,Orc_37_1.fq.gz,Orc_37_2.fq.gz
WTS,WT_S1_LALL_R1_001.fastq.gz,WT_S1_LALL_R2_001.fastq.gz
2a,CAP2_S6_LALL_R1_001.fastq.gz,CAP2_S6_LALL_R2_001.fastq.gz
ZO44,ZO_44_1.fq.gz,ZO_44_2.fq.gz
R1,R_S2_LALL_R1_001.fastq.gz,R_S2_LALL_R2_001.fastq.gz
BB3,BB_3_1.fq.gz,BB_3_2.fq.gz
